title,body,labels,milestone
"Create a reusable experiment framework","Define a shared experiment contract for inputs, outputs, derived values, presets, and explanations.
Separate simulation logic from UI rendering.
Standardise how each lab exposes parameters, equations, and live results.
Add a registry so new experiments can be added without changing core routing.
Acceptance criteria: a new experiment can be added with minimal boilerplate and consistent page behaviour.","type:feature,epic:platform","Foundation complete"
"Build shared UI components","Create reusable sliders, numeric inputs, toggles, buttons, and unit labels.
Add a formula panel and live value cards.
Add graphing hooks for time series and derived values.
Ensure components work across desktop and mobile.
Acceptance criteria: all experiments can use the same control and display components.","type:feature,epic:platform","Foundation complete"
"Add URL state and shareable presets","Encode experiment settings in the URL.
Support predefined scenarios and randomised starting states.
Add reset, copy link, and preset selection controls.
Acceptance criteria: every experiment can be reopened with the same state from a link.","type:feature,epic:platform","Foundation complete"
"Improve accessibility and keyboard support","Add labels, ARIA support, and focus states.
Support keyboard-only interaction for all controls.
Add reduced-motion handling where animation is used.
Add text summaries of key results for screen readers.
Acceptance criteria: core labs are usable without a mouse and are accessible to assistive tech.","type:feature,accessibility","Foundation complete"
"Add automated calculation tests","Create unit tests for equations and derived outputs.
Cover invalid inputs, edge cases, and rounding behaviour.
Add snapshot tests for key explanation panels if useful.
Acceptance criteria: core physics calculations are protected by test coverage.","type:test,epic:platform","Foundation complete"
"Add refraction and Snell's law lab","Build an interactive boundary between two media.
Allow refractive indices and incident angle to be changed.
Show refracted ray, normal line, and computed angles live.
Add total internal reflection behaviour when applicable.
Acceptance criteria: users can explore refraction and critical angle visually and numerically.","type:feature,epic:optics","Optics suite live"
"Add thin lens and image formation lab","Support converging and diverging lenses.
Allow object distance, focal length, and object height to be changed.
Show image position, magnification, and orientation live.
Add principal ray visualisation and object/image labels.
Acceptance criteria: image formation follows the lens equation and updates in real time.","type:feature,epic:optics","Optics suite live"
"Add mirror lab","Support plane, concave, and convex mirror modes.
Calculate image position and size from object position.
Show reflected rays and image type clearly.
Acceptance criteria: mirror behaviour is understandable and consistent across modes.","type:feature,epic:optics","Optics suite live"
"Add prism and dispersion lab","Build a prism refraction model with wavelength-dependent refractive index.
Show spectral separation across visible wavelengths.
Add a white-light input mode and monochromatic mode.
Acceptance criteria: users can see dispersion as a function of wavelength.","type:feature,epic:optics","Optics suite live"
"Add interference and diffraction lab","Implement double-slit and single-slit modes.
Allow wavelength, slit spacing, slit width, and screen distance to be adjusted.
Show fringe spacing and intensity distribution.
Acceptance criteria: users can connect parameters to interference and diffraction patterns.","type:feature,epic:optics","Optics suite live"
"Add Coulomb field visualiser","Render electric field vectors around one or more point charges.
Allow charge magnitude and sign to be changed.
Show force direction and field strength numerically.
Acceptance criteria: users can explore field structure around charges.","type:feature,epic:electricity","Electricity suite live"
"Add potential and equipotential lab","Visualise scalar potential on a grid or contour map.
Link potential values to field direction.
Support multiple charges and simple configurations.
Acceptance criteria: users can compare field and potential views.","type:feature,epic:electricity","Electricity suite live"
